order,family,genus
Coleoptera,Amphizoidae,Amphizoa
Coleoptera,Dytiscidae,Acilius
Coleoptera,Dytiscidae,Agabus
Coleoptera,Dytiscidae,Coelambus
Coleoptera,Dytiscidae,Colymbetes
Coleoptera,Dytiscidae,Copelatus
Coleoptera,Dytiscidae,Cybister 
Coleoptera,Dytiscidae,Dytiscus 
Coleoptera,Dytiscidae,Eretes
Coleoptera,Dytiscidae,Graphoderus
Coleoptera,Dytiscidae,Hydaticus
Coleoptera,Dytiscidae,Hyderodes
Coleoptera,Dytiscidae,Hydroporus
Coleoptera,Dytiscidae,Hydrovatus
Coleoptera,Dytiscidae,Hyphovatus
Coleoptera,Dytiscidae,Hygrotus
Coleoptera,Dytiscidae,Hyphydrus
Coleoptera,Dytiscidae,Ilybius
Coleoptera,Dytiscidae,Laccophilus
Coleoptera,Dytiscidae,Platambus
Coleoptera,Dytiscidae,Rhantus
Coleoptera,Gyrinidae,Andogyrus
Coleoptera,Gyrinidae,Aulonogyrus
Coleoptera,Gyrinidae,Dineutus
Coleoptera,Gyrinidae,Enhydrus
Coleoptera,Gyrinidae,Gyretes
Coleoptera,Gyrinidae,Gyrinus
Coleoptera,Gyrinidae,Heterogyrus
Coleoptera,Gyrinidae,Macrogyrus
Coleoptera,Gyrinidae,Metagyrinus
Coleoptera,Gyrinidae,Orectochilus
Coleoptera,Gyrinidae,Orectogyrus
Coleoptera,Gyrinidae,Patrus
Coleoptera,Gyrinidae,Porrorhynchus
Coleoptera,Gyrinidae,Spanglerogyrus
Coleoptera,Haliplidae,Apteraliplus
Coleoptera,Haliplidae,Brychius
Coleoptera,Haliplidae,Haliplus
Coleoptera,Haliplidae,Peltodytes
Coleoptera,Hydraenidae,Hydraena
Coleoptera,Hydrophilidae,Anacaena
Coleoptera,Hydrophilidae,Berosus
Coleoptera,Hydrophilidae,Cymbiodyta
Coleoptera,Hydrophilidae,Derallus
Coleoptera,Hydrophilidae,Enochrus 
Coleoptera,Hydrophilidae,Helophorus
Coleoptera,Hydrophilidae,Hemiosus
Coleoptera,Hydrophilidae,Hydrobius
Coleoptera,Hydrophilidae,Hydrochara
Coleoptera,Hydrophilidae,Hydrochus
Coleoptera,Hydrophilidae,Hydrophilus
Coleoptera,Hydrophilidae,Laccobius
Coleoptera,Hydrophilidae,Limnoxenus
Coleoptera,Hydrophilidae,Paracymus
Coleoptera,Hydrophilidae,Spercheus
Coleoptera,Hydrophilidae,Sternolophus
Coleoptera,Hydrophilidae,Tropisternus
Coleoptera,Hygrobiidae ,Hygrobia
Coleoptera,Noteridae,Noterus
Hemiptera,Belostomatidae,Abedus
Hemiptera,Belostomatidae,Benacus
Hemiptera,Corixidae,Agraptocorixa
Hemiptera,Corixidae,Arctocorisa
Hemiptera,Corixidae,Callicorixa
Hemiptera,Corixidae,Cenocorixa
Hemiptera,Corixidae,Centrocorisa
Hemiptera,Corixidae,Cnethocymatia
Hemiptera,Corixidae,Corisella
Hemiptera,Corixidae,Corixa
Hemiptera,Corixidae,Cymatia
Hemiptera,Corixidae,Dasycorixa
Hemiptera,Corixidae,Ectemnostega
Hemiptera,Corixidae,Glaenocorisa
Hemiptera,Corixidae,Graptocorixa
Hemiptera,Corixidae,Heliocorisa
Hemiptera,Corixidae,Hesperocorixa
Hemiptera,Corixidae,Heterocorixa
Hemiptera,Corixidae,Krizousacorixa
Hemiptera,Corixidae,Monticorixa
Hemiptera,Corixidae,Morphocorixa
Hemiptera,Corixidae,Neocorixa
Hemiptera,Corixidae,Neosigara
Hemiptera,Corixidae,Orocorixa
Hemiptera,Corixidae,Palmacorixa
Hemiptera,Corixidae,Paracorixa
Hemiptera,Corixidae,Parasigara
Hemiptera,Corixidae,Pseudoglaenocorisa
Hemiptera,Corixidae,Ramphocorixa
Hemiptera,Corixidae,Sigara
Hemiptera,Corixidae,Stenocorixa
Hemiptera,Corixidae,Trichocorixa
Hemiptera,Corixidae,Trichocorixella
Hemiptera,Corixidae,Xenocorixa
Hemiptera,Diaprepocoridae,Diaprepocoris
Hemiptera,Micronectidae,Austronecta
Hemiptera,Micronectidae,Micronecta
Hemiptera,Micronectidae,Tenagobia
Hemiptera,Naucoridae,Ilyocoris
Hemiptera,Naucoridae,Naucoris
Hemiptera,Nepidae,Nepa
Hemiptera,Nepidae,Ranatra
Hemiptera,Notonectidae,Anisops
Hemiptera,Notonectidae,Buenoa
Hemiptera,Pleidae,Plea
Odonata,Epiophlebiidae,Epiophlebia
Trichoptera,Hydropsychidae,Hydropsyche
